efgroup,species,ef
2,cis-2-Pentene,0.037
2,gamma-Terpinene,0.001
2,i-Butane,0.021
2,i-Pentane,0.019
2,iso-Limonene,0.005
2,"m,p-Xylenes",0.06
2,n-Butanal,0.03
2,n-Butane,0.076
2,n-Butylbenzene,0.011
2,n-Decane,0.012
2,n-Heptane,0.024
2,n-Hexanal,0.032
2,n-Hexane,0.027
2,n-Octane,0.02
2,n-Pentane,0.027
2,n-Propylbenzene,0.009
2,n-Undecane,0.022
2,o-Xylene,0.027
2,p-Cymene,0.071
2,trans-1_3-Hexadiene,0.005
2,trans-1_3-Pentadiene,0.022
2,trans-2-Butene,0.02
2,trans-2-Pentene,0.015
20,CH4,3.3
20,CO,94
20,CO2,1461
20,NH3,6.6
20,NOx,2.86
20,PM10,14.15
20,PM2.5,12.03
20,SO2,1.1
21,CH4,5.05
21,CO,104
21,CO2,1629.54
21,NH3,0.9
21,NOx,1.41
21,PM10,16.85
21,PM2.5,14.32
21,SO2,1.38
22,CH4,3.41
22,CO,80
22,CO2,1663
22,NH3,0.83
22,NOx,1.49
22,PM10,15.88
22,PM2.5,13.5
22,SO2,1.35
23,CH4,7.59
23,CO,140
23,CO2,1579
23,NH3,1.74
23,NOx,1.08
23,PM10,23.59
23,PM2.5,20.05
23,SO2,1.73
24,CH4,2.9
24,CO,56
24,CO2,1421
24,NH3,0.56
24,NOx,3.13
24,PM10,13.47
24,PM2.5,11.45
24,SO2,2.98
25,CH4,1.63
25,CO,30
25,CO2,1547
25,NH3,0.3
25,NOx,3.13
25,PM10,13.47
25,PM2.5,11.45
25,SO2,2.98
26,CH4,4.8
26,CO,101
26,CO2,1210
26,NH3,1.35
26,NOx,3.13
26,PM10,13.47
26,PM2.5,11.45
26,SO2,2.98
27,CH4,2.35
27,CO,55.26
27,CO2,1669.5
27,NH3,0.6
27,NOx,2.55
27,PM10,8.04
27,PM2.5,6.83
27,SO2,0.49
28,CH4,2.35
28,CO,55.26
28,CO2,1669.5
28,NH3,0.6
28,NOx,2.55
28,PM10,8.04
28,PM2.5,6.83
28,SO2,0.49
29,CH4,2.35
29,CO,55.26
29,CO2,1669.5
29,NH3,0.6
29,NOx,2.55
29,PM10,8.04
29,PM2.5,6.83
29,SO2,0.49
3,"1,2,3-Trimethylbenzene",0.033
3,"1,2,4-Trimethylbenzene",0.036
3,"1,3,5-Trimethylbenzene",0.015
3,1-Butanol,0.103
3,1-Butene,0.145
3,1-Butenylbenzene,0.003
3,1-Decene,0.018
3,1-Ethyl-2-Methylbenzene,0.01
3,"1-Ethyl-3-,4-Methylbenzene",0.033
3,1-Heptene,0.045
3,1-Hexene,0.06
3,1-Methyl-1-Propenylbenzene,0.015
3,1-Methylcyclohexane,0.004
3,1-Methylcyclohexene,0.01
3,1-Methylcyclopentane,0.095
3,1-Methylcyclopentene,0.004
3,1-Methylpyrazole,0.002
3,1-Methylpyrrole,0.004
3,1-Nonene,0.013
3,1-Octene,0.046
3,1-Pentene,0.04
3,1-Propenylbenzene,0.002
3,1-Undecene,0.023
3,1_1-Dimethylhydrazine,0.032
3,1_2-Butadiene,0.002
3,1_2-Butyne,0.004
3,1_2-Dihydronaphthalene,0.007
3,1_3-Butadiene,0.181
3,1_3-Butadiyne,0.001
3,1_3-CyclopentadienePIT,0.045
3,1_3-Dihydronaphthalene,0.008
3,1_3-MethylIndene,0
3,1_4-Diethylbenzene,0.003
3,2-Ethylfuran,0.02
3,2-Ethylpyrazine,0.007
3,2-Furaldehyde,0.528
3,2-Hexanone,0.012
3,2-Methyl-1-Butene,0.017
3,2-Methyl-1-Pentene,0.057
3,2-Methyl-2-Butenal,0.008
3,2-Methyl-2-Butene,0.03
3,2-Methylbutanal,0.042
3,2-Methylfuran,0.011
3,2-Methylpropanal,0.04
3,2-Methylpropene,0.086
3,2-Methylstyrene,0.01
3,2-Pentanone,0.036
3,2-Propenylbenzene,0.006
3,2_2-Dimethylbutane,0
3,2_2-Dimethylpropane,0.001
3,2_3-Butadione,0.272
3,2_3-Dihydro-1_4-Dioxin,0.003
3,2_5-Dihydrofuran,0.001
3,2_5-Dimethylfuran,0.036
3,3-Carene,0.015
