Units = lb/ton,,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8
Pollutant,Formula,Southeastern Forest,Boreal Forest,Western Forest - Rx,Western Forest - WF,Shrubland,Grassland,Woody RSC,Duff RSC
p-Cymene ,C10H14,0.0040,0.1420,0.1660,0.2220,0.2340,0.2340,0.8440,0.1180
C10H14 non-aromatic  ,C10H14,0.0040,0.0060,0.0080,0.0100,0.0048,0.0048,0.0140,0.0000
Isobutylbenzene ,C10H14,0.0100,0.0140,0.0160,0.0220,0.0101,0.0101,0.0340,0.0160
Methyl-n-Propylbenzene ,isomer1_C10H14,0.0120,0.0160,0.0180,0.0240,0.0088,0.0088,0.0360,0.0040
Methyl-n-Propylbenzene ,isomer2_C10H14,0.0100,0.0140,0.0160,0.0200,0.0074,0.0074,0.0300,0.0040
n-Butylbenzene ,C10H14,0.0160,0.0220,0.0240,0.0340,0.0132,0.0132,0.0500,0.0260
1_4-Diethylbenzene ,C10H14,0.0040,0.0040,0.0060,0.0080,0.0031,0.0031,0.0100,0.0040
Ethyl Xylene_i1,isomer1_C10H14,0.0120,0.0160,0.0180,0.0240,0.0126,0.0126,0.0360,0.0060
Ethyl Xylene_i2 ,isomer2_C10H14,0.0060,0.0080,0.0100,0.0140,0.0082,0.0082,0.0200,0.0040
Monoterpenes ,C10H16,0.5060,0.7020,0.8260,1.1060,0.2920,0.2920,1.6400,1.3900
beta-Pinene ,C10H16,0.1040,1.4400,0.0520,0.0700,0.0266,0.0266,0.6320,0.1840
D-Limonene ,C10H16,0.1200,0.1660,0.1940,0.2620,0.0498,0.0498,5.2940,0.1700
Myrcene ,C10H16,0.0040,0.0080,0.0080,0.0120,0.0204,0.0204,0.1160,0.0720
3-Carene ,C10H16,0.0180,0.0260,0.0300,0.0400,0.0378,0.0378,0.0600,0.0460
gamma-Terpinene ,C10H16,0.0020,0.0020,0.0040,0.0040,0.0107,0.0107,0.0060,0.0080
Terpinolene ,C10H16,0.0060,0.0080,0.0100,0.0140,0.0136,0.0136,0.0200,0.0140
alpha-Pinene ,C10H16,0.1880,1.6200,0.1040,0.1400,0.0326,0.0326,5.3000,0.1680
Camphene ,C10H16,0.0160,0.0480,0.0560,0.0760,0.0189,0.0189,0.7220,0.1620
iso-Limonene ,C10H16,0.0060,0.0100,0.0120,0.0160,0.0006,0.0006,0.0220,0.0040
1-Decene ,C10H20,0.0220,0.0300,0.0360,0.0480,0.0250,0.0250,0.0720,0.0440
n-Decane ,C10H22,0.0380,0.0240,0.0280,0.0360,0.0296,0.0296,0.0540,0.0540
C11 Aromatics ,C11,0.1680,0.2340,0.2760,0.3680,0.1094,0.1094,0.5480,0.4560
1-Undecene ,C11H22,0.0280,0.0380,0.0460,0.0600,0.0272,0.0272,0.0900,0.0720
n-Undecane ,C11H24,0.0320,0.0440,0.0500,0.0680,0.0378,0.0378,0.1000,0.0860
Sesquiterpenes ,C15H24,0.1000,0.1400,0.1640,0.2200,0.0334,0.3260,0.1900,0.1900
