GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=11/14/2014
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
54,FB_0054_FCCS.xml,118,310.000000,3.335672,16.536085,5.880523,0.000000,0.000000,0.000000,39.240383,0.000000,0.261217,0.000000,90.000000,0.000000,0.100000,0.010000,75.000000,70.000000,0.300000,2.400000,4.900000,0.500000,3.000000,4.000000,1.000000,3.000000,4.000000,0.000000,0.220538,0.000000,0.800000,2.295200,0.100000,0.000250,0.100000,0.000300,0.000526,0.000000,3.000000,1.200000,20.520000,0.800000,6.080000,0.108222,0.000000,0.000000,94.936638,8,1
55,FB_0055_FCCS.xml,7,330.000000,2.501215,0.000000,1.975097,0.000000,0.000000,0.000000,0.000000,0.000000,1.279752,0.000000,80.000000,0.000000,0.600000,0.010000,50.000000,50.000000,0.200000,0.400000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.040800,0.100000,0.001750,0.100000,0.006750,0.000000,0.000000,0.000000,0.100000,0.270000,0.100000,0.120000,0.000000,0.000000,0.000000,3.729053,5,5
56,FB_0056_FCCS.xml,186,330.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.496428,0.000000,80.000000,0.000000,0.700000,0.010000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.018500,0.200000,0.004800,0.300000,0.023850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.253577,13,13
57,FB_0057_FCCS.xml,1,330.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.010000,65.000000,45.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.022100,0.100000,0.001600,0.100000,0.002250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135950,13,13
58,FB_0058_FCCS.xml,7,330.000000,2.359767,0.000000,1.196702,0.001912,0.000000,0.204871,0.215117,0.000000,0.149881,0.000000,70.000000,0.000000,0.100000,0.050000,70.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.030000,0.100000,0.000850,0.100000,0.003450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551209,5,5
59,FB_0059_FCCS.xml,113,240.000000,0.347008,5.218052,0.287496,0.434889,0.000000,28.570631,9.317807,6.401168,2.866365,0.000000,90.000000,0.000000,0.300000,0.000000,85.000000,0.000000,0.500000,1.000000,2.000000,6.300000,3.900000,0.300000,6.300000,3.900000,0.300000,0.000000,0.000000,0.000000,0.300000,0.324540,0.200000,0.005000,0.700000,0.577500,0.000000,0.000000,0.500000,2.000000,35.640003,1.200000,8.160001,0.126949,0.000000,0.000000,89.154221,8,4
60,FB_0060_FCCS.xml,186,330.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.974885,0.000000,50.000000,0.000000,0.100000,0.100000,50.000000,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,0.103500,0.100000,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.280885,13,13
61,FB_0061_FCCS.xml,115,240.000000,7.672550,0.000000,3.773385,0.123466,0.000000,26.862343,26.791506,4.410796,0.911595,0.000000,89.000000,0.000000,0.200000,0.000000,60.000000,0.000000,0.100000,0.400000,1.700000,4.400000,13.600000,0.000000,5.400000,19.500000,0.000000,0.309601,0.176430,0.000000,0.800000,1.394400,0.000000,0.000000,0.500000,0.007500,0.000000,0.000000,0.500000,0.700000,12.320000,0.600000,3.360000,0.064866,0.000000,0.000000,95.670158,8,3
62,FB_0062_FCCS.xml,8,240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567678,1.152930,85.000000,98.000000,0.100000,0.010000,85.000000,85.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.125000,0.100000,0.001000,0.200000,0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.980608,13,13
63,FB_0063_FCCS.xml,171,240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250000,0.100000,95.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.057500,0.000000,0.000000,0.700000,0.052500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.460000,13,13
65,FB_0065_FCCS.xml,169,260.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,0.300000,90.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,1.620000,0.100000,0.720000,0.000000,0.000000,0.000000,5.175000,13,13
66,FB_0066_FCCS.xml,1,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081548,0.000000,100.000000,0.000000,1.000000,0.010000,85.000000,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0.287500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,23.099998,0.200000,1.120000,0.000000,0.000000,0.000000,25.599049,13,13
67,FB_0067_FCCS.xml,118,340.000000,2.529964,3.234330,0.000000,0.086358,0.000000,17.844320,9.857100,7.582383,4.309235,0.000000,90.000000,0.000000,0.750000,0.000000,75.000000,0.000000,0.500000,1.400000,1.200000,4.000000,2.000000,0.000000,1.600000,1.000000,0.000000,0.285548,0.172295,0.000000,0.700000,1.820700,0.000000,0.000000,0.200000,0.004500,0.000275,0.000000,3.000000,1.000000,14.400000,1.000000,6.400000,0.009910,0.000000,0.000000,60.378304,8,1
69,FB_0069_FCCS.xml,145,260.000000,0.027600,0.000000,0.003450,0.000000,0.000000,0.000000,0.000000,0.000000,3.749570,0.000000,93.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.200000,0.400000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.053000,0.000000,0.000000,0.000000,0.000000,0.000424,0.000000,0.000000,0.100000,0.018000,0.100000,0.080000,0.000000,0.000000,0.000000,4.900994,5,5
70,FB_0070_FCCS.xml,113,330.000000,6.916615,2.445154,0.192622,0.185149,0.000000,11.241385,8.339162,8.040514,2.835688,0.000000,85.000000,0.000000,0.200000,0.000000,70.000000,0.000000,0.300000,1.200000,2.500000,12.000001,7.000000,0.000000,8.700001,5.500000,0.000000,0.124903,0.092657,0.000000,0.800000,1.430400,0.000000,0.000000,0.500000,0.007500,0.000000,0.000000,0.500000,0.600000,9.720000,0.600000,4.320000,0.129733,0.000000,0.000000,73.125710,8,4
71,FB_0071_FCCS.xml,0,420.000000,2.950101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.058075,0.000000,80.000000,0.000000,0.500000,0.100000,80.000000,75.000000,0.400000,0.500000,0.800000,0.400000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,1.248480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.506557,8,8
72,FB_0072_FCCS.xml,0,420.000000,3.946536,0.000000,0.000000,0.000000,0.085841,0.000000,0.073544,0.055158,0.445600,0.000000,80.000000,0.000000,6.000000,0.300000,95.000000,95.000000,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.800000,5.301000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.815302,8,8
73,FB_0073_FCCS.xml,0,420.000000,17.981567,0.000000,0.000000,0.000000,9.053503,0.000000,4.184730,3.406176,0.680000,0.000000,80.000000,0.000000,3.000000,0.000000,80.000000,0.000000,0.900000,1.400000,4.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,1.800000,4.892400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.563307,8,8
74,FB_0074_FCCS.xml,0,420.000000,2.981464,0.000000,0.000000,0.000000,9.883288,0.000000,5.031688,2.925399,0.210000,0.000000,80.000000,0.000000,0.700000,0.020000,80.000000,80.000000,0.200000,0.700000,2.200000,1.900000,0.000000,0.000000,1.900000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.168400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.955488,8,8
75,FB_0075_FCCS.xml,0,420.000000,5.794470,0.000000,0.128726,0.000000,0.000000,0.000000,0.000000,0.904211,0.118960,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,1.200000,1.900000,0.500000,1.500000,1.000000,0.500000,1.500000,1.000000,0.000000,0.000000,0.000000,2.500000,7.350000,0.000000,0.000000,0.000000,0.000000,0.059678,0.000000,0.000000,2.000000,34.200001,2.000000,15.200001,0.000000,0.000000,0.000000,67.032852,8,8
76,FB_0076_FCCS.xml,0,420.000000,2.095846,0.000000,0.000000,0.000000,0.000000,0.000000,2.161290,1.668876,0.016500,0.000000,90.000000,0.000000,3.000000,0.020000,80.000000,90.000000,0.100000,0.400000,0.500000,0.500000,1.500000,0.300000,0.500000,1.500000,0.300000,0.000000,0.000000,0.000000,2.200000,5.831100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,25.650002,3.300000,25.080002,0.000000,0.000000,0.000000,69.027771,8,8
77,FB_0077_FCCS.xml,0,420.000000,5.488559,7.579439,4.051080,0.000000,0.000000,0.000000,1.672043,10.169152,1.360000,0.000000,90.000000,0.000000,0.050000,0.000000,80.000000,0.000000,0.800000,3.300000,4.200000,4.000000,1.000000,6.000000,2.000000,0.500000,0.500000,0.000000,0.000000,0.000000,1.800000,5.468400,0.000000,0.000000,0.000000,0.000000,0.000878,0.000000,0.100000,2.000000,35.280003,2.000000,15.679999,0.132121,0.000000,0.000000,92.212601,8,8
78,FB_0078_FCCS.xml,0,420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.367200,0.000000,80.000000,0.000000,0.900000,0.000000,80.000000,0.000000,1.100000,2.500000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,1.591200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.058401,8,8
79,FB_0079_FCCS.xml,0,420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.787050,0.000000,90.000000,0.000000,2.500000,0.000000,80.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.575000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.962050,8,8
80,FB_0080_FCCS.xml,0,420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120480,0.000000,78.000000,0.000000,5.000000,0.100000,80.000000,80.000000,0.100000,0.300000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.322000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.242480,8,8
81,FB_0081_FCCS.xml,0,420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.496590,0.000000,78.000000,0.000000,3.800000,0.020000,80.000000,80.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,1.476000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.992590,8,8
82,FB_0082_FCCS.xml,0,420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178767,0.000000,99.000000,0.000000,4.500000,0.000000,95.000000,0.000000,0.200000,0.300000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.904000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.182767,8,8
83,FB_0083_FCCS.xml,0,420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.536000,0.000000,85.000000,0.000000,5.000000,0.000000,85.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.400400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.036401,8,8
84,FB_0084_FCCS.xml,0,420.000000,0.078147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.692000,0.000000,90.000000,0.000000,4.000000,0.000000,75.000000,0.000000,0.100000,0.200000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.540000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.032001,8,8
85,FB_0085_FCCS.xml,109,130.000000,1.121234,0.000000,0.032343,0.000000,0.206534,0.000000,0.208124,0.160096,0.463132,1.749237,90.000000,90.000000,0.050000,0.020000,80.000000,80.000000,0.200000,0.300000,1.000000,1.500000,0.000000,0.000000,1.000000,0.000000,0.000000,0.020653,0.012007,0.000000,0.500000,0.075000,2.000000,0.700000,2.500000,0.937500,0.000000,0.080994,0.000000,2.000000,21.599998,4.000000,32.000000,0.017849,0.000000,0.000000,62.013596,8,8
86,FB_0086_FCCS.xml,109,130.000000,1.121234,0.000000,0.032343,0.000000,0.206534,0.000000,0.193524,0.160096,0.463132,1.749237,90.000000,90.000000,0.020000,0.020000,80.000000,75.000000,0.200000,0.300000,1.000000,1.500000,0.000000,0.000000,1.000000,0.000000,0.000000,0.020653,0.012007,0.000000,0.500000,0.075000,2.000000,0.100000,2.500000,3.187500,0.000000,0.080994,0.000000,2.000000,21.599998,4.000000,30.400002,0.017849,0.000000,0.000000,62.019005,8,8
87,FB_0087_FCCS.xml,109,130.000000,7.244898,0.000000,0.019406,0.000000,2.689239,0.000000,1.876120,1.407090,0.500000,0.728800,90.000000,90.000000,0.010000,0.020000,90.000000,90.000000,0.100000,0.200000,0.500000,1.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.107569,0.062537,0.000000,1.000000,0.450000,2.000000,0.050000,2.500000,3.000000,0.000000,0.080994,0.500000,2.000000,32.400002,4.000000,32.000000,0.081811,0.000000,0.000000,75.493927,8,8
88,FB_0088_FCCS.xml,109,130.000000,0.517493,0.000000,0.043124,0.000000,0.070250,0.000000,0.061261,0.032673,0.694698,0.150080,90.000000,90.000000,0.020000,0.020000,75.000000,75.000000,0.200000,0.300000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.010537,0.006126,0.000000,0.500000,0.075000,2.000000,0.050000,15.000000,20.250002,0.000000,0.040497,0.000000,15.000000,297.000000,20.000000,144.000000,0.017849,0.000000,0.000000,465.888245,8,8
89,FB_0089_FCCS.xml,109,130.000000,0.517493,0.000000,0.043124,0.000000,0.070250,0.000000,0.061261,0.032673,0.463132,0.112560,90.000000,90.000000,1.000000,0.020000,80.000000,90.000000,0.200000,0.300000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.010537,0.006126,0.000000,0.500000,0.075000,0.000000,0.000000,20.000000,12.000000,0.000000,0.040497,0.000000,10.000000,198.000015,10.000000,72.000000,0.017849,0.000000,0.000000,287.299133,8,8
90,FB_0090_FCCS.xml,52,220.000000,8.984249,4.410450,1.045440,0.000000,2.311165,0.000000,1.796991,0.735133,0.958038,0.000000,90.000000,0.000000,0.010000,0.000000,80.000000,0.000000,1.000000,1.400000,1.500000,5.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.204202,0.000000,2.000000,5.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,15.300000,1.000000,6.800000,1.764912,0.000000,0.000000,46.739277,9,9
91,FB_0091_FCCS.xml,104,130.000000,7.546771,0.000000,0.032343,0.000000,4.123341,0.000000,5.513495,3.675663,0.726957,0.716190,90.000000,90.000000,0.030000,0.020000,80.000000,80.000000,0.200000,0.400000,1.200000,1.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.137444,0.091891,0.000000,1.000000,0.457500,2.000000,0.050000,2.500000,3.000000,0.000000,0.080994,0.500000,2.000000,27.000002,3.000000,21.599998,0.171663,0.000000,0.000000,67.490799,8,8
92,FB_0092_FCCS.xml,104,130.000000,5.227199,2.587464,0.013604,0.000000,2.222022,0.000000,3.063053,2.042036,0.167235,0.575118,90.000000,90.000000,0.010000,0.020000,80.000000,80.000000,0.400000,0.600000,1.500000,3.000000,0.000000,0.000000,1.500000,0.000000,0.000000,0.074067,0.051050,0.000000,1.500000,3.696000,2.000000,0.020000,2.000000,0.600000,0.000000,0.053996,0.500000,1.000000,16.200001,2.000000,14.400001,0.315402,0.000000,0.000000,48.733963,8,8
93,FB_0093_FCCS.xml,107,130.000000,12.251250,0.000000,0.024359,0.000000,0.000000,0.000000,5.105088,2.756748,0.200000,0.759922,90.000000,90.000000,0.010000,0.010000,80.000000,80.000000,0.300000,0.400000,0.800000,3.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.132260,0.073513,0.000000,2.000000,4.960000,2.000000,0.020000,2.000000,0.600000,0.000000,0.000000,0.000000,1.000000,16.200001,3.000000,21.599998,0.315402,0.000000,0.000000,62.242931,9,9
94,FB_0094_FCCS.xml,108,130.000000,11.434501,0.000000,0.032539,0.000000,0.000000,0.000000,3.752240,3.752240,1.000000,0.374980,90.000000,90.000000,0.010000,0.020000,80.000000,80.000000,0.200000,0.300000,1.500000,2.000000,1.000000,0.000000,1.000000,0.500000,0.000000,0.066599,0.050029,0.000000,2.000000,5.580000,0.000000,0.000000,2.000000,0.150000,0.000000,0.000000,0.000000,1.000000,16.200001,2.000000,14.400001,0.315402,0.000000,0.000000,52.171494,9,9
95,FB_0095_FCCS.xml,300,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.400000,0.000000,90.000000,0.000000,0.050000,0.050000,80.000000,80.000000,0.200000,0.500000,0.500000,0.500000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,16.200001,1.000000,7.200000,0.000000,0.000000,0.000000,34.790001,9,9
97,FB_0097_FCCS.xml,317,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334509,0.000000,90.000000,0.000000,3.000000,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.050000,20.000000,4.500000,0.000000,0.000000,0.000000,5.000000,110.000008,5.000000,40.000000,0.000000,0.000000,0.000000,157.884506,13,13
98,FB_0098_FCCS.xml,310,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.132133,0.000000,90.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.550000,2.000000,0.200000,2.500000,0.375000,0.000000,0.000000,0.000000,1.000000,3.600000,1.000000,4.000000,0.000000,0.000000,0.000000,13.057134,8,8
99,FB_0099_FCCS.xml,304,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,6.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,19.800001,1.000000,7.200000,0.000000,0.000000,0.000000,38.900002,13,13
100,FB_0100_FCCS.xml,307,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,1.000000,90.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.680000,0.000000,0.000000,1.000000,0.150000,0.000000,0.000000,0.000000,0.500000,5.500000,0.500000,2.000000,0.000000,0.000000,0.000000,15.330001,13,13
101,FB_0101_FCCS.xml,104,130.000000,9.659864,0.000000,0.032343,0.000000,8.590292,0.000000,9.572039,6.381360,0.431739,1.332331,90.000000,90.000000,0.010000,0.020000,80.000000,80.000000,0.300000,0.500000,1.500000,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.190894,0.127626,0.000000,1.000000,0.600000,2.000000,0.050000,2.500000,2.625000,0.000000,0.182236,0.500000,2.000000,27.000002,3.000000,21.599998,0.171663,0.000000,0.000000,75.412659,8,8
102,FB_0102_FCCS.xml,104,130.000000,5.390550,0.000000,0.064687,0.745695,24.052822,29.932398,13.783738,6.381360,1.238479,1.332331,90.000000,90.000000,1.000000,0.050000,80.000000,80.000000,1.000000,1.500000,3.000000,20.000000,5.000000,0.000000,0.500000,0.000000,0.000000,0.515413,0.344591,0.000000,1.000000,0.900000,2.000000,0.050000,2.500000,2.250000,0.000000,0.182236,3.000000,2.000000,27.000002,3.000000,21.599998,1.716630,0.000000,0.000000,112.908241,8,8
103,FB_0103_FCCS.xml,104,130.000000,12.482553,0.000000,0.090692,0.015729,2.290745,0.572686,7.504480,5.002986,1.500000,0.839257,90.000000,90.000000,0.010000,0.020000,80.000000,80.000000,0.500000,0.700000,1.500000,3.000000,2.000000,0.000000,1.000000,1.000000,0.000000,0.183014,0.100059,0.000000,1.500000,2.772000,2.000000,0.100000,2.000000,1.200000,0.000000,0.053996,0.500000,1.000000,19.800001,2.000000,14.400001,0.315402,0.000000,0.000000,63.962933,8,8
104,FB_0104_FCCS.xml,104,130.000000,11.855289,0.000000,0.136038,0.559271,9.621128,16.493362,7.504480,5.002986,3.000000,0.839257,90.000000,90.000000,1.000000,0.050000,80.000000,80.000000,1.500000,2.000000,3.000000,15.000001,5.000000,0.000000,1.000000,1.000000,0.000000,0.305517,0.183782,0.000000,1.500000,3.192000,2.000000,0.030000,2.000000,0.900000,0.000000,0.053996,3.000000,1.000000,19.800001,2.000000,14.400001,3.107595,0.000000,0.000000,91.374886,8,8
105,FB_0105_FCCS.xml,104,130.000000,12.179376,4.160851,0.095135,0.015729,2.290745,0.572686,7.504479,5.002986,1.500000,0.814704,90.000000,90.000000,0.010000,0.050000,80.000000,80.000000,0.400000,0.500000,1.500000,5.000000,3.000000,0.000000,2.000000,2.000000,0.000000,0.173713,0.100059,0.000000,2.000000,4.927999,2.000000,0.020000,2.000000,0.600000,0.000000,0.026998,0.500000,1.000000,16.200001,2.000000,14.400001,0.315402,0.000000,0.000000,66.535072,8,8
106,FB_0106_FCCS.xml,24,210.000000,1.004112,0.156380,0.071874,0.055578,0.000000,9.218243,6.754032,0.000000,0.504187,0.091990,90.000000,90.000000,0.050000,0.050000,50.000000,50.000000,1.000000,1.700000,3.300000,17.500000,17.500000,0.000000,3.500000,3.500000,0.000000,0.563733,0.402022,0.201011,2.000000,4.191600,2.000000,0.030000,2.000000,1.500000,0.000000,0.000000,0.500000,1.500000,26.730000,0.500000,3.960000,0.959224,0.000000,0.000000,94.543381,10,10
107,FB_0107_FCCS.xml,63,210.000000,2.016784,0.285666,0.337252,0.000466,119.275246,0.194026,0.200119,0.200119,1.449090,0.021900,90.000000,90.000000,0.010000,0.010000,80.000000,80.000000,0.100000,0.700000,0.500000,0.100000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.537250,0.500000,0.012500,0.500000,0.037500,0.000000,0.000000,3.000000,1.500000,24.299999,1.500000,10.799999,0.015676,0.000000,0.000000,44.194618,10,10
109,FB_0109_FCCS.xml,34,210.000000,10.284516,10.182151,1.042304,0.024274,5.097519,1.352971,3.158533,1.263413,3.284205,0.000000,85.000000,0.000000,0.400000,0.000000,80.000000,0.000000,0.300000,0.500000,1.000000,1.200000,0.500000,0.500000,0.750000,0.300000,0.000000,0.000000,0.025525,0.000000,1.500000,4.171500,0.000000,0.000000,1.000000,0.075000,0.000000,0.000000,0.300000,0.500000,8.100000,0.500000,3.600000,0.135893,0.000000,0.000000,29.588345,9,9
110,FB_0110_FCCS.xml,38,210.000000,6.011280,10.617750,2.515590,0.000000,7.434266,0.000000,2.158602,0.863441,0.438266,0.000000,95.000000,0.000000,0.100000,0.000000,95.000000,0.000000,0.400000,0.500000,1.000000,1.000000,5.000000,0.000000,0.500000,1.000000,0.000000,0.261241,0.020033,0.000000,1.000000,2.945000,0.000000,0.000000,2.000000,0.150000,0.000000,0.000000,0.000000,0.500000,10.889999,0.500000,3.960000,0.176907,0.000000,0.000000,31.363489,9,9
