Units = g/kg,,,,,,,,,,,
Pollutant,Formula,SE Forest,Boreal Forest,Western Forest (WF),SW Forest (Rx),NW Forest (Rx),Shrub,Grass,CWD Residual,Temperate Residual,Boreal Residual
Other C6H10 ,"isomer 1,C6H10",0.007,0.009,0.014,,,0.002,0.002,0.021,0.001,0.001
Other C6H10 ,"isomer 2,C6H10",0.001,0.001,0.001,,,0.002,0.002,0.002,0.004,0.004
Other C6H10 ,"isomer 3,C6H10",0.001,0.002,0.002,,,0.016,0.016,0.004,0.016,0.016
2-Methylfuran ,C5H6O,0.007,0.009,0.015,,,0.159,0.159,0.646,0.537,0.537
Other C6H10 ,"isomer 5,C6H10",0.003,0.004,0.006,,,0.001,0.001,0.009,0.004,0.004
1-Methylpyrazole ,C4H6N2,0.001,0.002,0.003,,,0.005,0.005,0.004,0.028,0.028
2-Methyl-1-Pentene ,C6H12,0.035,0.049,0.077,,,0.067,0.067,0.114,0.117,0.117
1-Hexene ,C6H12,0.036,0.051,0.080,,,0.067,0.067,0.118,0.011,0.011
Cyclohexene ,C6H12,0.001,0.002,0.003,,,0.002,0.002,0.004,0.006,0.006
Hexenes ,"sum of 3 isomers, C6H12",0.040,0.056,0.088,,,0.057,0.057,0.13,0.01,0.01
cis-2-Hexene ,C6H12,0.013,0.018,0.028,,,0.015,0.015,0.041,0.005,0.005
"2,2-Dimethylbutane ",C6H14,0.000,0.000,0.000,,,0.000,0.000,0,0.002,0.002
n-Hexane ,C6H14,0.012,0.027,0.042,,,0.009,0.009,0.061,0.11,0.11
3-Methylpentane ,C6H14,0.003,0.018,0.007,,,0.003,0.003,0.011,0.014,0.014
Phenol ,C6H5OH,0.282,0.473,0.865,,,0.453,0.453,0.15,4.236,1.045
2-Ethylfuran ,C6H8O,0.009,0.017,0.027,,,0.009,0.009,0.036,0.048,0.048
"2,5-Dimethylfuran ",C6H8O,0.031,0.031,0.048,,,0.021,0.021,0.194,0.076,0.076
n-Hexanal ,C6H12O,0.023,0.032,0.051,,,0.016,0.016,0.075,0.159,0.159
